Id,CategoryId,FloorValue,IndexCode
1,1,0,PM10
2,2,50,PM10
3,3,75,PM10
4,4,155,PM10
5,5,235,PM10
6,1,0,PM2.5
7,2,25,PM2.5
8,3,45,PM2.5
9,4,79,PM2.5
10,5,147,PM2.5
11,1,0,O3
12,2,0.051,O3
13,3,0.095,O3
14,4,0.135,O3
15,5,0.175,O3
16,1,0,NO2
17,2,0.107,NO2
18,3,0.210,NO2
19,4,0.230,NO2
20,5,0.250,NO2
21,1,0,SO2
22,2,0.008,SO2
23,3,0.110,SO2
24,4,0.165,SO2
25,5,0.220,SO2
26,1,0,CO
27,2,8.75,CO
28,3,11,CO
29,4,13.30,CO
30,5,15.50,CO
31,1,0,O38H
32,2,0.051,O38H
33,3,0.070,O38H
34,4,0.092,O38H
35,5,0.114,O38H